id,latitude,longitude,elevation,name,category,ridge_id
hill-00153,43.99763843779195,41.072977781295776,1157,,regular,ridge_dzhentu
hill-00188,43.9252536591417,40.94902753829956,1150,,regular,ridge_dzhentu
hill-00508,44.05945042954161,41.075477600097656,1149,,regular,ridge_dzhentu
hill-00463,43.925446843703384,40.98680377006531,1147,,regular,ridge_dzhentu
hill-00509,44.01144430819181,41.03876352310181,1147,,regular,ridge_dzhentu
hill-00151,44.01223907043567,40.98771572113037,1146,,regular,ridge_dzhentu
hill-00460,43.91900959629817,40.95196723937988,1140,,regular,ridge_dzhentu
hill-00097,43.977684089978624,41.102471351623535,1138,,regular,ridge_dzhentu
hill-00130,44.09752529014392,41.00689888000488,1135,ск. Двойная,regular,ridge_dzhentu
hill-00149,43.94113133634835,40.97551703453064,1134,,regular,ridge_dzhentu
hill-00507,44.00946893065802,41.025041341781616,1131,,regular,ridge_dzhentu
hill-00778,44.06704423487116,41.15431308746338,1128,,regular,ridge_dzhentu
hill-00148,43.98390655218586,41.06220602989197,1125,,regular,ridge_dzhentu
hill-00468,43.93613283632027,40.9704315662384,1121,,regular,ridge_dzhentu
hill-00471,43.93886004530256,40.991116762161255,1121,,regular,ridge_dzhentu
hill-00096,43.993771600833384,41.11000299453735,1118,,regular,ridge_dzhentu
hill-00015,43.81152153383945,40.92130422592163,1117,Эхо,regular,ridge_dzhentu
hill-00145,43.927038660608304,40.97692251205444,1112,,regular,ridge_dzhentu
hill-00085,44.06996585579287,41.1272656917572,1109,,regular,ridge_dzhentu
hill-00147,43.99611797507629,41.02711200714111,1108,,regular,ridge_dzhentu
hill-00680,43.98680911544906,41.09255790710449,1108,,regular,ridge_dzhentu
hill-00111,43.976502829336624,40.92912554740906,1106,,regular,ridge_dzhentu
hill-00086,44.0770496095669,41.10067963600159,1103,,regular,ridge_dzhentu
hill-00660,43.955985294102874,40.974154472351074,1099,Рваная,regular,ridge_dzhentu
hill-00187,43.93485803568271,40.93112111091614,1097,,regular,ridge_dzhentu
hill-00139,43.95166003168097,41.047818660736084,1093,,regular,ridge_dzhentu
hill-00511,44.06201007478546,41.17254137992859,1093,,regular,ridge_dzhentu
hill-00464,43.92866134273331,40.96732020378113,1092,,regular,ridge_dzhentu
hill-00475,43.945588685919034,40.990344285964966,1091,,regular,ridge_dzhentu
hill-00131,43.98791297858668,40.92453360557556,1078,,regular,ridge_dzhentu
hill-00467,43.932316078899305,40.94061613082886,1078,,regular,ridge_dzhentu
